"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xda5ba9f200a5d021ab449dc0551fb3d4bf3fa7e347d17017d87370def58a45bc","9029894","1575164596","12/1/2019 1:43:16 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0xe59f0abc296c5ecb7cb12523205e96bd8e5cfa09","292"
"0xa10a0a7378af8e93d686f5f2fb14ff3e7733294372d2d05a2fb787ba942190cd","9029894","1575164596","12/1/2019 1:43:16 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x09bf02fded5bb3732ab1405b6ce136cc7a1f91d6","173.529537"
"0xf516ca8d56afd5cf397694b7df56c37104800d4c7bd4ff537275abececdb1886","9029934","1575165378","12/1/2019 1:56:18 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x64622e87f9cdce8361b7879a3e5843f725ff71ec","332.453256"
"0xb708abe8c6a76d6a3156de0f8bc9407c72cc322612659da7994622fc7967d4d9","9029940","1575165470","12/1/2019 1:57:50 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x7db9f535a755311e813c9e1439adc01d72154690","1187"
"0x4b1da7d715c3214b996cab14aa62d3d44372f3730592a0fe80f8ae931855b4c3","9029987","1575166312","12/1/2019 2:11:52 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0xaea9555e50587c7d4ab7b936b6df459617a3f6ed","144.957647"
"0xe02e9ccbdeed5e6220a4bd07db81e49ef68e2d5a016bc6ec8053b9a4fa6bd41c","9029988","1575166328","12/1/2019 2:12:08 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x019604dd32fdf2e32bc76b22c4ce4546d275ff33","186.759271"
"0x891f1f75d6fde68a733657008c8cf3ec1518940b9e7f096e7f09b53d96235f12","9030000","1575166436","12/1/2019 2:13:56 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x2482408e803e6c5d94eae14292b1f8fadf23d2e8","200"
"0x70f73fdc4ee3b10ab90bf874d2e8b08f478192a19f36331e4850b417270e3da1","9030003","1575166499","12/1/2019 2:14:59 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x79bf7bd070bd40e8b935bfba36f136942edb0ecb","738"
"0x8f7baf43e4ba2942da51000d86e30589f821948d16349422508e9a53f8f8863e","9030003","1575166499","12/1/2019 2:14:59 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x7db9f535a755311e813c9e1439adc01d72154690","600"
"0xfa91c697239ef2a4653bab3d3dc383235bfa0c798c184aa15d65a7e1f02e0e92","9030026","1575166867","12/1/2019 2:21:07 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0xc7d3f63db1141b20401efc9e549f6985c417cd84","760"
"0x184b2679b2cafada03c21618614e2e3dc1a11fd514371677dabdc324cd139182","9030207","1575169564","12/1/2019 3:06:04 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0x6ca92e195f46848c22f2ec3953dcb209fae73edc","12001.2136"
"0x49eeaa18c8750be1591c44d2665adeaf1cf9d9020e025a7f6ab370ec619ad9cc","9030348","1575171429","12/1/2019 3:37:09 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0xa2e1d2ddace16dd91b4ee2f58a638957670484bd","1198.757926"
"0xfd16d9ee2bbe7f4288eef70b70cbeb0d5d32dc1bc53b0291815ae06cdfa126b2","9030351","1575171469","12/1/2019 3:37:49 AM","0x529dab7bad9ef1000c3c0d708878c83fc870f7ae","0xfcbb6e0da3f8baa91028f55769fd251513e0ff67","166.745334"
