"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xae5c599a5c551eaca8e3cee5d9935ac3ea08262e12ccbcba0d8b6a4181ee3abb","7776741","1558082971","5/17/2019 8:49:31 AM","0x663ffe32a68751a1b31c6467a005addf70593f20","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","990.696469"
"0xdbf8c515a307dad50206010e31a774a595a37f91b16bc24069c2aaa20fcb4a7c","7776753","1558083088","5/17/2019 8:51:28 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x2959032e2f65179c8d5a051191041a950a9ca53d","990.696469"
"0x343ca1dbcd4aeec09f104af8943ae8245ec42816b6b30f5331fd82f0e71c384e","7809348","1558524483","5/22/2019 11:28:03 AM","0x9cd0bfeeaec38b8adce551ff99d80fbbe4b5e87b","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","4174.83"
"0x91a48809d6a0edaaee639cf2ada2f107507bccc2fc785830c0048d198f8d5d89","7809355","1558524569","5/22/2019 11:29:29 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","4174.83"
"0xd4690eedd520e501ffd31fd3874937e58c5512a5ad36f635ebcd6a4ebfe12b05","7809450","1558526010","5/22/2019 11:53:30 AM","0x88a9908a2c47d4f485d8c7b1043410637d317ad8","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","3920.992965"
"0xe61552d1d022d80bd1a9d3b9a6b74136fae9d1a765636a6563c5dee95aab5ec8","7812293","1558564134","5/22/2019 10:28:54 PM","0xd6ebde940e10be3ec8a9fb28b46517de15bd8b5d","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","39.951075"
"0x358a2814eae929a28d816984696b8e15b55c4b911e3154bae162bf714f5ac57e","7814000","1558587459","5/23/2019 4:57:39 AM","0xf522eaf504fbee910cd17eb595d69115d85cc308","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","6737.772642"
"0x368ec0c3bf6e0c491876feeb901aafbdceffed837160ea39e35028486b18b319","7815132","1558603416","5/23/2019 9:23:36 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x8bf057728e6c91237ffb30bb3c5c883785e948cb","3920.9929"
"0x4a02031946cfc081334803e962ac94d9035c51932455cea5b5b1806a405596b6","7815482","1558607972","5/23/2019 10:39:32 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xdab156039773ecdf192c7e53553be4fc008cd09e","6737"
"0x0e0f801cd44ba2825773ca827d82c7bbe361e209d12f0ee94c27eb76a82e2bdb","7820115","1558670599","5/24/2019 4:03:19 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xcbbf77be2676e7b08cf98682d57a7aeaef955183","37"
"0xb428b324be939852c84ac1a2799bd9f773b364663dda6f7bac0fed78b4c9baf6","7820253","1558672383","5/24/2019 4:33:03 AM","0xd6ebde940e10be3ec8a9fb28b46517de15bd8b5d","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","37"
"0xe1a3d40c4b35852ab5b17e629e7cb2cfcb93a92ff3284b01b4860d0620804f0f","7826072","1558750492","5/25/2019 2:14:52 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xcbbf77be2676e7b08cf98682d57a7aeaef955183","39"
"0xb4f2a66bf11af6771bfa74f0b9a868ad5cabee42e36c3efbf2928924df1d3022","7826483","1558755872","5/25/2019 3:44:32 AM","0x12161b238bebdf2ad8129dd6ac4d1805ef5eeca0","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","231"
"0xd85089ba75a44e1512e36f56f6aad8913f9d72e1b825c15107f6c973bcb787d8","7829202","1558792890","5/25/2019 2:01:30 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x50c24ecce4e22f2e4abfbb2d0cd17142663d26c0","231"
"0x43f5233415742d8a8a2e2d86eb1fc505e40f5880d892cecade245c507673aa92","7832355","1558834206","5/26/2019 1:30:06 AM","0xd187d1f791e3f424527accf26aafbecd561c95eb","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","108.238759"
"0x0ecaf6bc41a24514b229849fcd35e388d2da3db717c1c687313b7b6e2bd351c3","7832695","1558838670","5/26/2019 2:44:30 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x7f0ae4a68e0394eab2a91a745afe730ceb6f877f","108.2"
"0x85437f747fb9c550b736c9071cd67240210260e9c3a2d8d37e587849a4d69a3f","7834384","1558862211","5/26/2019 9:16:51 AM","0x32009653c2f6fc359c096a3151eb1e4a11c263e9","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","3"
"0xf5eef568b4d972e841c3cd2c10c658faeb60fae8884212bc88ffb23eb7288f4a","7840035","1558937969","5/27/2019 6:19:29 AM","0xd6ebde940e10be3ec8a9fb28b46517de15bd8b5d","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","39"
"0x8e7316621ffc59bf16bf5024fdd48b73cf3dbd9f0e99e1fa106c0aa11247a84e","7840042","1558938093","5/27/2019 6:21:33 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xb86e0b5a2500bde94a3e6645f685e19281296add","39"
"0x59f4e6f00230a5fc0dd5d0fd1725ed87033d0bc339dc9c7c06e06e1b7ea3b702","7845943","1559017793","5/28/2019 4:29:53 AM","0x5b14fc0ff25500c75da6c3e7625055b02416ee19","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","200.519"
"0xdb67cebca8e78a91dbf15d6086a8c6fc7f444a69eb63c24ff5c9d1815fb24ef5","7846216","1559021587","5/28/2019 5:33:07 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xaa47ca773f043ef7f59165b70ce8cb92e5d87028","198.519"
"0x690e8df4a25e22dccc00deadd9aeb61d7f83b1e0dfc18a48a80cfc46e8590046","7853444","1559118644","5/29/2019 8:30:44 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x9d1ab8b4b7c072729bb61ca1ded379b51a12c047","6.762541"
"0x12419b6a69f4dcb3d915f0649931c4dbb39d68c6de5c3d9a80b734b003dd9f21","7854180","1559128484","5/29/2019 11:14:44 AM","0xb4c68cac6721d15a6961faed696da8586d3cb568","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","7111.19"
"0x24b4dafad599f1b126c6dc6f4f8f7eb3cfbbe199be03c828f9c0b1c3f525757b","7854193","1559128645","5/29/2019 11:17:25 AM","0xb4c68cac6721d15a6961faed696da8586d3cb568","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","19130"
"0x965b81e7f0c850ce8b0a88aa09084340b9a1e97432feb0ee37c8174151c197e4","7854218","1559129161","5/29/2019 11:26:01 AM","0xbc6265da0bc25eda58962990ff7bf3d8cd3b8971","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","499999.99"
"0xbaabe720c63f94080c52c5d4b115891c3c373bbf456abfda6e0266c40bf41a94","7859253","1559196509","5/30/2019 6:08:29 AM","0xf95754d82cacc06727d279c9957d63dbc54dcbff","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","1184.364034"
"0x2f06930540d6d511d6b7acebe48758356b1f5cfeb9aa1cba83780084a47c5267","7859947","1559206019","5/30/2019 8:46:59 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x66e414da84edcaab3e61056f3d75f11f858d0e62","998"
